Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage,Margin of Error; Housing units without a mortgage
Allegheny Center,1,72,28,42,25,0,10,0,10,0,10,0,10,42,25,30,19
Allegheny West,2,69,31,32,27,22,21,0,10,22,21,0,10,10,16,37,23
Allentown,3,538.0,112.769676775,232.0,84.4334057113,73.0,57.3846669416,49.0,57.2013985843,24.0,26.5518360947,0.0,17.3205080757,159.0,62.2655603042,306.0,74.1552425659
Arlington,4,492.0,84.4334057113,216.0,58.9406481132,27.0,28.3901391332,6.0,16.7630546143,21.0,28.7228132327,0.0,17.3205080757,189.0,52.3641098463,276.0,72.0555341387
Arlington Heights,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Banksville,6,985.0,139.728307798,603.0,136.769879725,95.0,56.0535458289,12.0,25.7099202644,83.0,53.6749476012,0.0,20.0,508.0,129.607098571,382.0,100.40418318
Bedford Dwellings,7,48,31,16,18,0,10,0,10,0,10,0,10,16,18,32,24
Beechview,8,2065.0,199.682247584,1358.0,189.005290932,206.0,79.485847797,82.0,54.4885309033,124.0,65.9848467452,10.0,34.481879299,1142.0,185.814423551,707.0,115.754049605
Beltzhoover,9,556.0,129.988461026,239.0,83.3606621854,61.0,40.938978981,17.0,21.0713075057,44.0,37.9605057922,0.0,20.0,178.0,76.4329771761,317.0,105.72606112
Bloomfield,10,1688.0,134.014924542,914.0,114.878196365,183.0,52.820450585,27.0,35.3553390594,156.0,49.4368283773,0.0,31.6227766016,731.0,108.383578091,774.0,104.5753317
Bluff,11,79.0,32.9241552663,21.0,24.4335834457,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,21.0,24.4335834457,58.0,29.4278779391
Bon Air,12,305,62,190,56,28,25,0,10,28,25,0,10,162,61,115,44
